,Country,Arrivals,Units,2018,2019,2020,2021,2022,Mean Total Arrivals,Recommendation,latitude,longitude,Avg Temp(°C),Avg Rainfall(mm)
126,Netherlands,total arrivals,thousands,18780.0,20129.0,7265.0,6248.0,16063.0,13697.0,Go,52.132633,5.291266,25.0,2.2
127,New Caledonia,total arrivals,thousands,576.0,474.0,79.0,12.4,139.0,256.08000000000004,Go,-20.904305,165.618042,25.0,2.2
128,New Zealand,total arrivals,thousands,3858.0,3888.0,996.0,207.0,1434.0,2076.6,Go,-40.900557,174.885971,25.0,2.2
129,Nicaragua,total arrivals,thousands,1412.0,1455.0,474.0,312.4,932.7,917.22,Go,12.865416,-85.207229,25.0,2.2
130,Niger,total arrivals,thousands,157.0,192.0,85.0,,,144.66666666666666,No Go,17.607789,8.081666,0.0,0.0
131,Nigeria,total arrivals,thousands,5254.0,5361.0,1209.0,1246.0,1271.0,2868.2,No Go,9.081999,8.675277,0.0,0.0
132,Niue,total arrivals,thousands,10.5,10.2,1.3,0.2,,5.55,No Go,-19.054445,-169.867233,0.0,0.0
133,North Macedonia,total arrivals,thousands,707.0,758.0,118.0,294.0,537.0,482.8,Go,41.608635,21.745275,26.0,4.7
134,Northern Mariana Islands,total arrivals,thousands,518.0,487.0,89.0,12.7,96.6,240.66,Go,17.33083,145.38469,25.0,2.2
135,Norway,total arrivals,thousands,5688.0,5879.0,1397.0,1435.0,4979.4,3875.68,No Go,60.472024,8.468946,0.0,0.0
136,Oman,total arrivals,thousands,3242.0,3506.0,869.0,652.0,2920.0,2237.8,Go,21.512583,55.923255,25.0,2.1
137,Palau,total arrivals,thousands,106.0,94.0,18.4,,,72.8,No Go,7.51498,134.58252,0.0,0.0
138,Panama,total arrivals,thousands,2487.0,2494.0,647.0,804.0,1946.0,1675.6,Go,8.537981,-80.782127,25.0,2.2
139,Papua New Guinea,total arrivals,thousands,195.0,211.0,39.0,17.0,69.4,106.28,No Go,-6.314993,143.95555,0.0,0.0
140,Paraguay,total arrivals,thousands,4183.0,4368.0,1077.0,571.0,1548.0,2349.4,Go,-23.442503,-58.443832,25.0,2.3
141,Peru,total arrivals,thousands,5384.0,5275.0,1119.0,444.0,2278.5,2900.1,Go,-9.189967,-75.015152,25.0,2.3
142,Philippines,total arrivals,thousands,7396.0,8423.0,1508.0,164.0,2654.0,4029.0,Go,12.879721,121.774017,25.0,2.3
143,Poland,total arrivals,thousands,85946.0,88515.0,51076.0,51026.0,71814.0,69675.4,Go,51.919438,19.145136,25.0,2.3
144,Portugal,total arrivals,thousands,16186.0,17283.0,4208.0,6345.0,16308.0,12066.0,Go,39.399872,-8.224454,25.0,2.3
145,Puerto Rico,total arrivals,thousands,4260.0,4931.0,3882.0,2754.7,3637.5,3893.04,No Go,18.220833,-66.590149,0.0,0.0
146,Qatar,total arrivals,thousands,1819.0,2136.5,582.0,611.0,2560.0,1541.7,Go,25.354826,51.183884,26.0,2.3
